alll_documents_fields,,,
data_type,data_field,separator,data_value
int,document_id,:,
int,collection_id,:,
text,document_path,:,
int,document_status_id,:,
text,document_url,:,
text,document_archive,:,
text,document_Fondo,:,
text,document_Volumen,:,
text,document_Caja,:,
text,document_Tomo,:,
text,document_Legajo,:,
text,document_Expediente,:,
text,document_Documento,:,
text,document_Titulo,:,
text,document_Signatura,:,
text,document_Productores,:,
text,document_Fecha_creacion,:,
text,document_Año_creacion,:,
text,document_Lugar_creacion,:,
text,document_Soporte,:,
text,document_Descripcion,:,
text,document_Indices_de_Descripcion,:,
text,document_Num_pags,:,
text,document_Num_pags_escritas,:,
text,document_Rango_fojas,:,
